scenario,strategy,b1_avg_stop_s,b1_avg_queue_veh,b1_served_veh,b1_max_red_s,net_avg_wait_s,net_completed
low,fixed,27.27,3.29,434,110.0,111.48,1133
low,rule,31.43,3.78,433,114.0,117.54,1133
low,rl,23.6,2.85,435,124.0,115.04,1135
medium,fixed,36.51,8.95,883,110.0,141.28,2243
medium,rule,45.13,11.02,879,114.0,146.38,2239
medium,rl,68.53,16.5,867,84.0,156.73,2230
rush,fixed,1348.4,74.54,199,110.0,173.34,395
rush,rule,1864.06,82.33,159,120.0,163.11,360
rush,rl,1331.1,79.5,215,204.0,182.25,407
asymmetric,fixed,66.13,10.84,590,110.0,300.58,567
asymmetric,rule,70.03,13.09,673,114.0,266.79,652
asymmetric,rl,28.02,6.03,775,199.0,157.15,760
